question,answer,contexts,ground_truth,evolution_type,faithfulness,answer_relevancy,context_precision,context_recall,avg_score
"If a customer has a Grade A credit score, what home loan interest rate range would they qualify for?","Based on VietBank's documentation, Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Deposit rates: demand deposits max 1.0%, term < 6 months max 4.75%, term ≥ 6 months market-determined. 2) Credit assessment (3-5 business days).","['Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Deposit rates: demand deposits max 1.0%, term < 6 months max 4.75%, term ≥ 6 months market-determined.', 'Loan application: 1) Submit application with documents. 2) Credit assessment (3-5 business days). 3) Collateral valuation. 4) Loan committee approval. 5) Contract signing and disbursement. Required: CCCD, household registration, income proof (3 months salary slips), collateral documents.', 'Restructuring options: term extension (up to 50% of original), interest rate adjustment, grace period (up to 6 months), partial forgiveness (exceptional, board approval required).']","A Grade A customer (score > 750) receives 0.5-1.0% below standard rates. Since home loan standard rate is 7.5-9%, they would qualify for approximately 6.5-8.5%.",reasoning,0.5077,0.6211,0.5252,0.5077,0.5404249999999999
"A customer makes a credit card purchase of 10,000,000 VND and only pays the minimum. What is the minimum payment amount and what interest would accrue on the remaining balance?","The minimum payment for VietBank credit cards is 5% of the outstanding balance or 500,000 VND, whichever is higher.","['Billing cycle: 30 days. Payment due date: 15 days after statement date. Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher). Late payment fee: 4% of minimum payment amount. Interest on revolving balance: 1.5-2.5% per month.', 'Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Deposit rates: demand deposits max 1.0%, term < 6 months max 4.75%, term ≥ 6 months market-determined.', 'VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Gold - 500,000 VND, 100-300M, 1.0%. Platinum - 1,500,000 VND, 300M-1B, 1.5%. Signature - 3,000,000 VND, 1-5B, 2.0%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants.']","Minimum payment is 5% of 10,000,000 = 500,000 VND (meets the 500,000 VND floor). The remaining 9,500,000 VND would accrue interest at 1.5-2.5% per month, which is 142,500-237,500 VND.",reasoning,0.6958,0.7366,0.8818,0.6444,0.73965
"Why would a customer with over 400,000,000 VND in transactions face additional scrutiny compared to a regular customer?","Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio.","['To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Deposit rates: demand deposits max 1.0%, term < 6 months max 4.75%, term ≥ 6 months market-determined.', 'Security features: Biometric authentication (fingerprint, Face ID), 2FA (OTP via SMS/authenticator), transaction limits, device binding (max 2 devices), real-time AI fraud detection, session timeout (5 minutes). All transactions encrypted with TLS 1.3. Passwords: min 8 chars, change every 90 days. Account lockout after 5 failed attempts. OTP validity: 3 minutes.']","Cash transactions ≥ 400,000,000 VND require reporting to State Bank under AML regulations. Additionally, such customers require Enhanced Due Diligence (EDD) for high-value transactions exceeding this threshold.",reasoning,0.7586,0.6696,0.273,0.6163,0.579375
"If a loan becomes 100 days overdue, what classification would it receive and what is the bank's provision rate and collection action?","Based on VietBank's documentation, 2) Credit assessment (3-5 business days). 4) Loan committee approval. Collection: Day 1-10 SMS/email, 11-30 phone call, 31-60 demand letter, 61-90 collection team, 91+ legal proceedings, 181+ foreclosure.","['Loan application: 1) Submit application with documents. 2) Credit assessment (3-5 business days). 3) Collateral valuation. 4) Loan committee approval. 5) Contract signing and disbursement. Required: CCCD, household registration, income proof (3 months salary slips), collateral documents.', 'Overdue classification: 0-10 days Current (0%), 10-30 Special Mention (5%), 31-90 Substandard (20%), 91-180 Doubtful (50%), 181+ Loss (100%). Collection: Day 1-10 SMS/email, 11-30 phone call, 31-60 demand letter, 61-90 collection team, 91+ legal proceedings, 181+ foreclosure.', 'Restructuring options: term extension (up to 50% of original), interest rate adjustment, grace period (up to 6 months), partial forgiveness (exceptional, board approval required).']","At 100 days overdue, the loan is classified as 'Doubtful' with a 50% provision rate. The collection team would be engaged, and legal proceedings may commence since it's past 91 days.",reasoning,0.729,1.0,0.5492,0.6622,0.7351
Compare the total annual cost of holding a Gold vs Platinum credit card assuming no transactions.,"Based on VietBank's documentation, Signature - 3,000,000 VND, 1-5B, 2.0%. Gold - 500,000 VND, 100-300M, 1.0%. Billing cycle: 30 days.","['VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Gold - 500,000 VND, 100-300M, 1.0%. Platinum - 1,500,000 VND, 300M-1B, 1.5%. Signature - 3,000,000 VND, 1-5B, 2.0%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants.', 'Billing cycle: 30 days. Payment due date: 15 days after statement date. Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher). Late payment fee: 4% of minimum payment amount. Interest on revolving balance: 1.5-2.5% per month.', 'To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.']","Gold card annual fee is 500,000 VND. Platinum annual fee is 1,500,000 VND. The Platinum costs 1,000,000 VND more per year but includes airport lounge access and higher cashback (1.5% vs 1.0%).",reasoning,0.7148,0.5164,0.7629,0.7253,0.67985
A customer wants to restructure a 5-year loan. What is the maximum extended term they can receive and what other options are available?,"Based on VietBank's documentation, Restructuring options: term extension (up to 50% of original), interest rate adjustment, grace period (up to 6 months), partial forgiveness (exceptional, board approval required). 3) Collateral valuation. 4) Loan committee approval.","['Restructuring options: term extension (up to 50% of original), interest rate adjustment, grace period (up to 6 months), partial forgiveness (exceptional, board approval required).', 'Loan application: 1) Submit application with documents. 2) Credit assessment (3-5 business days). 3) Collateral valuation. 4) Loan committee approval. 5) Contract signing and disbursement. Required: CCCD, household registration, income proof (3 months salary slips), collateral documents.', 'Overdue classification: 0-10 days Current (0%), 10-30 Special Mention (5%), 31-90 Substandard (20%), 91-180 Doubtful (50%), 181+ Loss (100%). Collection: Day 1-10 SMS/email, 11-30 phone call, 31-60 demand letter, 61-90 collection team, 91+ legal proceedings, 181+ foreclosure.']","The maximum extension is 50% of the original 5-year term, so 2.5 additional years (total 7.5 years). Other options include interest rate adjustment, grace period up to 6 months for principal payment, and partial debt forgiveness in exceptional cases.",reasoning,0.8387,0.5527,0.8044,0.4237,0.6548750000000001
"If VietBank detects a security breach, what are the notification deadlines for different stakeholders?","Based on VietBank's documentation, OTP validity: 3 minutes. All transactions encrypted with TLS 1.3. The account opening process typically takes 15-30 minutes at any VietBank branch.","['Security features: Biometric authentication (fingerprint, Face ID), 2FA (OTP via SMS/authenticator), transaction limits, device binding (max 2 devices), real-time AI fraud detection, session timeout (5 minutes). All transactions encrypted with TLS 1.3. Passwords: min 8 chars, change every 90 days. Account lockout after 5 failed attempts. OTP validity: 3 minutes.', 'To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'VietBank offers: Standard Savings - 4.5% annual interest, no minimum balance after opening. Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Current Account - 0.1% interest, unlimited transactions. Student Account - 3.0% interest, no fees for students under 25.']","State Bank must be notified within 24 hours, customers within 72 hours. Remediation measures must be in place within 30 days, followed by a post-incident review.",reasoning,0.808,0.9867,0.4215,0.5407,0.689225
Why might a customer's account be restricted even if they haven't done anything wrong?,"Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months).","['To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'VietBank offers: Standard Savings - 4.5% annual interest, no minimum balance after opening. Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Current Account - 0.1% interest, unlimited transactions. Student Account - 3.0% interest, no fees for students under 25.', 'Business account requires: business registration certificate, company seal specimen, board resolution, tax registration certificate, minimum deposit 10,000,000 VND.']","A customer's account may be restricted if they fail to update their KYC information within the required timeframe (every 2 years for standard accounts, yearly for high-risk). Failure to update results in account restrictions until verification is completed.",reasoning,0.7349,0.6095,0.3319,0.6296,0.576475
Calculate the approximate monthly interest earned on a Premium Savings account with the minimum required balance.,"Based on VietBank's documentation, To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch. Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND.","['To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'VietBank offers: Standard Savings - 4.5% annual interest, no minimum balance after opening. Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Current Account - 0.1% interest, unlimited transactions. Student Account - 3.0% interest, no fees for students under 25.', 'Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Deposit rates: demand deposits max 1.0%, term < 6 months max 4.75%, term ≥ 6 months market-determined.']","Premium Savings requires minimum 100,000,000 VND at 5.8% annual rate. Monthly interest = 100,000,000 × 5.8% / 12 ≈ 483,333 VND.",reasoning,0.5607,0.7463,0.4329,0.837,0.644225
What happens to a suspicious transaction report if a bank staff member informs the customer about it?,"Based on VietBank's documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Deposit rates: demand deposits max 1.0%, term < 6 months max 4.75%, term ≥ 6 months market-determined.","['To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Deposit rates: demand deposits max 1.0%, term < 6 months max 4.75%, term ≥ 6 months market-determined.', 'VietBank Mobile App features: Balance inquiry, transaction history, fund transfers, bill payments, QR code payments, account management, loan application, investment products, customer support chat.']",Informing the customer about a SAR would violate the tipping-off prohibition policy. Staff must file the SAR within 24 hours and the customer must NOT be informed. This is a compliance violation that could have legal consequences.,reasoning,0.6025,0.6349,0.7102,0.4477,0.5988249999999999
"If a customer wants to invest 50,000,000 VND with the lowest risk, which VietBank product should they choose and why?","Based on VietBank's documentation, To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch. Gold - 500,000 VND, 100-300M, 1.0%.","['To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Gold - 500,000 VND, 100-300M, 1.0%. Platinum - 1,500,000 VND, 300M-1B, 1.5%. Signature - 3,000,000 VND, 1-5B, 2.0%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants.', 'Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Deposit rates: demand deposits max 1.0%, term < 6 months max 4.75%, term ≥ 6 months market-determined.']","The VietBank Money Market Fund offers the lowest risk with a target 5% annual return. Alternatively, government bonds are tax-exempt and capital protected. The Money Market Fund is more liquid with no lock-up period.",reasoning,0.7541,0.863,0.3228,0.6458,0.646425
"A transaction of 60,000,000 VND is attempted through the mobile app. What security measures will be triggered?","Based on VietBank's documentation, Passwords: min 8 chars, change every 90 days. Account lockout after 5 failed attempts. The account opening process typically takes 15-30 minutes at any VietBank branch.","['Security features: Biometric authentication (fingerprint, Face ID), 2FA (OTP via SMS/authenticator), transaction limits, device binding (max 2 devices), real-time AI fraud detection, session timeout (5 minutes). All transactions encrypted with TLS 1.3. Passwords: min 8 chars, change every 90 days. Account lockout after 5 failed attempts. OTP validity: 3 minutes.', 'To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'Billing cycle: 30 days. Payment due date: 15 days after statement date. Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher). Late payment fee: 4% of minimum payment amount. Interest on revolving balance: 1.5-2.5% per month.']","Since the transaction exceeds 50,000,000 VND, OTP verification will be required. Additionally, the real-time fraud scoring system will evaluate the transaction, and the AI-powered transaction monitoring will check for suspicious patterns.",reasoning,0.759,0.7895,0.3821,0.4351,0.591425
Compare the security measures for online banking authentication with the data privacy protections VietBank provides. How do they work together?,"Based on VietBank's documentation, OTP validity: 3 minutes. All transactions encrypted with TLS 1.3. VietBank Mobile App features: Balance inquiry, transaction history, fund transfers, bill payments, QR code payments, account management, loan application, investment products, customer support chat.","['Security features: Biometric authentication (fingerprint, Face ID), 2FA (OTP via SMS/authenticator), transaction limits, device binding (max 2 devices), real-time AI fraud detection, session timeout (5 minutes). All transactions encrypted with TLS 1.3. Passwords: min 8 chars, change every 90 days. Account lockout after 5 failed attempts. OTP validity: 3 minutes.', 'VietBank Mobile App features: Balance inquiry, transaction history, fund transfers, bill payments, QR code payments, account management, loan application, investment products, customer support chat.', 'Data collected: name, DOB, CCCD, address, phone, email, employment, transactions, biometrics. Used for: account management, credit assessment, compliance, marketing (consent only), fraud prevention. Customer rights: access, correct, delete (subject to retention), withdraw marketing consent, lodge complaint.']","Authentication uses biometric (fingerprint/Face ID), 2FA with OTP, device binding (max 2 devices), and session timeout. Data privacy includes TLS 1.3 encryption, right to access/correct/delete data, and consent-based marketing. Together they form a defense-in-depth approach: authentication prevents unauthorized access while privacy policies govern how authorized data is handled.",multi_context,0.7835,0.6945,0.5451,0.6054,0.657125
How does VietBank's KYC policy interact with its loan application process? What documents overlap?,"Based on VietBank's documentation, 5) Contract signing and disbursement. Required: CCCD, household registration, income proof (3 months salary slips), collateral documents. Foreign nationals need passport with visa.","['Loan application: 1) Submit application with documents. 2) Credit assessment (3-5 business days). 3) Collateral valuation. 4) Loan committee approval. 5) Contract signing and disbursement. Required: CCCD, household registration, income proof (3 months salary slips), collateral documents.', 'KYC: Vietnamese citizens need CCCD. Foreign nationals need passport with visa. Update every 2 years (standard) or yearly (high-risk). Failure to update = account restrictions. EDD required for PEPs, transactions > 400M VND, high-risk jurisdictions.', 'Overdue classification: 0-10 days Current (0%), 10-30 Special Mention (5%), 31-90 Substandard (20%), 91-180 Doubtful (50%), 181+ Loss (100%). Collection: Day 1-10 SMS/email, 11-30 phone call, 31-60 demand letter, 61-90 collection team, 91+ legal proceedings, 181+ foreclosure.']","KYC requires CCCD for Vietnamese citizens, proof of address, and information updates every 2 years. Loan applications require CCCD, household registration book, income proof, and collateral documents. The CCCD is required by both processes. KYC verification must be current before a loan can be processed, and EDD applies to high-value loans exceeding 400M VND.",multi_context,0.5912,0.6848,0.5528,0.4357,0.566125
"A customer wants to open a business account, apply for a trade finance letter of credit, and set up mobile banking. What are the total requirements and fees?","Based on VietBank's documentation, To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants.","['To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Gold - 500,000 VND, 100-300M, 1.0%. Platinum - 1,500,000 VND, 300M-1B, 1.5%. Signature - 3,000,000 VND, 1-5B, 2.0%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants.', 'VietBank Mobile App features: Balance inquiry, transaction history, fund transfers, bill payments, QR code payments, account management, loan application, investment products, customer support chat.']","Business account requires: business registration, company seal, board resolution, tax certificate, minimum 10M VND deposit. L/C issuance fee is 0.15-0.25% of value. Mobile app provides fund transfers, bill payments, and QR payments. Internal transfers are free but interbank costs 5,500 VND. Total initial requirement includes all business documents plus 10M VND deposit.",multi_context,0.9985,0.7211,0.2856,0.655,0.6650499999999999
How does VietBank's complaint resolution process connect with its data privacy rights and the incident response procedure?,"Based on VietBank's documentation, 5) Contract signing and disbursement. Required: CCCD, household registration, income proof (3 months salary slips), collateral documents. Customer rights: access, correct, delete (subject to retention), withdraw marketing consent, lodge complaint.","['Loan application: 1) Submit application with documents. 2) Credit assessment (3-5 business days). 3) Collateral valuation. 4) Loan committee approval. 5) Contract signing and disbursement. Required: CCCD, household registration, income proof (3 months salary slips), collateral documents.', 'Data collected: name, DOB, CCCD, address, phone, email, employment, transactions, biometrics. Used for: account management, credit assessment, compliance, marketing (consent only), fraud prevention. Customer rights: access, correct, delete (subject to retention), withdraw marketing consent, lodge complaint.', 'Security breach: immediate containment, customer notification within 72 hours, State Bank notification within 24 hours, remediation within 30 days, post-incident review.']","Complaint resolution has 3 internal levels (2 days, 5 days, 15 days) plus State Bank ombudsman. Data privacy grants rights to access, correct, and delete data, and lodge complaints with data protection authority. Incident response requires customer notification within 72 hours and State Bank notification within 24 hours. All three processes converge when a data breach triggers both incident response and customer complaints.",multi_context,0.5441,0.7681,0.7085,0.4187,0.60985
"Explain the relationship between VietBank's interest rate policy, the State Bank base rate, and how this affects both savings and loan products.","Based on VietBank's documentation, Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Loan application: 1) Submit application with documents.","['Interest rates based on: State Bank base rate (currently 4.5%), customer credit score (Grade A-D), loan-to-value ratio. Customers with Grade A credit (score > 750) receive 0.5-1.0% below standard rates. Deposit rates: demand deposits max 1.0%, term < 6 months max 4.75%, term ≥ 6 months market-determined.', 'Loan application: 1) Submit application with documents. 2) Credit assessment (3-5 business days). 3) Collateral valuation. 4) Loan committee approval. 5) Contract signing and disbursement. Required: CCCD, household registration, income proof (3 months salary slips), collateral documents.', 'Restructuring options: term extension (up to 50% of original), interest rate adjustment, grace period (up to 6 months), partial forgiveness (exceptional, board approval required).']","State Bank base rate is 4.5%. Deposit rates are capped: demand deposits max 1.0%, term < 6 months max 4.75%, term ≥ 6 months market-determined. Lending rates are based on the base rate plus customer risk profile (Grade A-D). Premium Savings offers 5.8% while standard offers 4.5%. Home loans range 7.5-9%, with Grade A customers getting 0.5-1.0% reduction. The spread between deposit and lending rates is VietBank's profit margin.",multi_context,0.8541,0.7119,0.648,0.8535,0.766875
"What are the different ways VietBank uses technology across its digital banking, security, and investment platforms?","Based on VietBank's documentation, VietBank Mobile App features: Balance inquiry, transaction history, fund transfers, bill payments, QR code payments, account management, loan application, investment products, customer support chat. OTP validity: 3 minutes. Account lockout after 5 failed attempts.","['VietBank Mobile App features: Balance inquiry, transaction history, fund transfers, bill payments, QR code payments, account management, loan application, investment products, customer support chat.', 'Security features: Biometric authentication (fingerprint, Face ID), 2FA (OTP via SMS/authenticator), transaction limits, device binding (max 2 devices), real-time AI fraud detection, session timeout (5 minutes). All transactions encrypted with TLS 1.3. Passwords: min 8 chars, change every 90 days. Account lockout after 5 failed attempts. OTP validity: 3 minutes.', 'Exchange rates updated every 30 minutes. Rate spread ±0.5% for < 10,000 USD. SWIFT transfers 1-3 business days. Correspondent banks: JP Morgan, Citibank, HSBC, Standard Chartered. Max remittance: 50,000 USD. International transfers require dual authorization.']","Digital banking uses a mobile app with biometric auth, QR payments, and real-time alerts. Security employs AI-powered fraud detection, TLS 1.3 encryption, 3D Secure for card-not-present, and EMV chip standard. Investment platform offers mutual funds and bonds through the app. All are integrated: the app serves as single entry point, security layers protect transactions, and investment products are accessible digitally.",multi_context,0.6607,0.5369,0.3399,0.4195,0.48925
How does VietBank handle cross-border transactions from both a product offering and regulatory compliance perspective?,"Based on VietBank's documentation, International transfers require dual authorization. Max remittance: 50,000 USD. The account opening process typically takes 15-30 minutes at any VietBank branch.","['Exchange rates updated every 30 minutes. Rate spread ±0.5% for < 10,000 USD. SWIFT transfers 1-3 business days. Correspondent banks: JP Morgan, Citibank, HSBC, Standard Chartered. Max remittance: 50,000 USD. International transfers require dual authorization.', 'To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch.', 'VietBank offers: Standard Savings - 4.5% annual interest, no minimum balance after opening. Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Current Account - 0.1% interest, unlimited transactions. Student Account - 3.0% interest, no fees for students under 25.']","Products include SWIFT transfers (1-3 days), forward contracts, L/Cs (0.15-0.25%), and trade loans. Regulatory requirements include: exchange rates updated every 30 minutes, max 50,000 USD per remittance, dual authorization for international transfers, compliance with State Bank foreign exchange controls, and AML reporting for suspicious cross-border activity. Correspondent banks include JP Morgan, Citibank, HSBC.",multi_context,0.6877,0.7012,0.5498,0.6823,0.65525
"Compare all the insurance and protection features available across VietBank's credit cards, bancassurance products, and investment products.","Based on VietBank's documentation, Platinum - 1,500,000 VND, 300M-1B, 1.5%. Gold - 500,000 VND, 100-300M, 1.0%. Late payment fee: 4% of minimum payment amount.","['VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Gold - 500,000 VND, 100-300M, 1.0%. Platinum - 1,500,000 VND, 300M-1B, 1.5%. Signature - 3,000,000 VND, 1-5B, 2.0%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants.', 'Billing cycle: 30 days. Payment due date: 15 days after statement date. Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher). Late payment fee: 4% of minimum payment amount. Interest on revolving balance: 1.5-2.5% per month.', 'Bancassurance: Life Insurance, Health Insurance, Travel Insurance, Property Insurance. Claim process: Report within 24 hours, submit claim form, assessment 5-10 business days, settlement via bank transfer.']","Credit cards include free accident insurance up to 500M VND. Bancassurance offers life, health, travel, and property insurance through partnerships. Investment products include capital-protected structured deposits. Government bonds can be used as loan collateral, providing an additional safety net. The claim process requires 24-hour reporting and 5-10 day assessment with settlement via VietBank account.",multi_context,0.7021,0.868,0.4524,0.9852,0.751925
"What are the end-to-end steps and timeline for a customer who wants to dispute a fraudulent transaction, considering the complaint resolution, security incident, and AML processes?","Based on VietBank's documentation, Security breach: immediate containment, customer notification within 72 hours, State Bank notification within 24 hours, remediation within 30 days, post-incident review. Required: CCCD, household registration, income proof (3 months salary slips), collateral documents. 5) Contract signing and disbursement.","['Security breach: immediate containment, customer notification within 72 hours, State Bank notification within 24 hours, remediation within 30 days, post-incident review.', 'Loan application: 1) Submit application with documents. 2) Credit assessment (3-5 business days). 3) Collateral valuation. 4) Loan committee approval. 5) Contract signing and disbursement. Required: CCCD, household registration, income proof (3 months salary slips), collateral documents.', 'Security features: Biometric authentication (fingerprint, Face ID), 2FA (OTP via SMS/authenticator), transaction limits, device binding (max 2 devices), real-time AI fraud detection, session timeout (5 minutes). All transactions encrypted with TLS 1.3. Passwords: min 8 chars, change every 90 days. Account lockout after 5 failed attempts. OTP validity: 3 minutes.']","The customer reports via hotline. Security team performs immediate containment. SAR filed within 24 hours if suspicious. Level 1 complaint resolution within 2 business days. State Bank notified within 24 hours if breach confirmed. Customer formally notified within 72 hours. If not resolved, escalates to Level 2 (5 days) then Level 3 (15 days). Remediation within 30 days. Customer can escalate to State Bank ombudsman. Records retained for 5+ years.",multi_context,0.8001,0.5214,0.3072,0.6272,0.5639749999999999
"How do VietBank's fee structures differ across personal banking, credit cards, and digital banking services?","Based on VietBank's documentation, All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants. VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher).","['VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Gold - 500,000 VND, 100-300M, 1.0%. Platinum - 1,500,000 VND, 300M-1B, 1.5%. Signature - 3,000,000 VND, 1-5B, 2.0%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants.', 'Billing cycle: 30 days. Payment due date: 15 days after statement date. Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher). Late payment fee: 4% of minimum payment amount. Interest on revolving balance: 1.5-2.5% per month.', 'VietBank Mobile App features: Balance inquiry, transaction history, fund transfers, bill payments, QR code payments, account management, loan application, investment products, customer support chat.']","Personal banking: account opening requires 500K VND deposit (standard) or 10M (business). Credit cards: annual fees range 200K-3M VND with cashback 0.5-2.0%, late fees 4% of minimum, revolving interest 1.5-2.5%/month. Digital banking: internal transfers free, interbank 5,500 VND, international 0.1% (min 200K VND), paper statements 20K VND. Fee changes require 30-day notice with 90-day grandfathering.",multi_context,0.6642,0.7571,0.5852,0.5383,0.6362
